ArrayExpress_Sex_s	ArrayExpress_Species_s	AvgSpotLen_l	BioSample_s	Experiment_s	InsertSize_l	Library_Name_s	LoadDate_s	MBases_l	MBytes_l	Organism_s	ReleaseDate_s	Run_s	SRA_Sample_s	Sample_Description_s	Sample_Name_s	Assay_Type_s	BioProject_s	Center_Name_s	Consent_s	Instrument_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Platform_s	SRA_Study_s
male	Placidochromis milomo	200	SAMEA1877480	ERX240995	250	6526398	2016-03-09	6467	4431	Placidochromis milomo	2013-05-05	ERR266499	ERS198956	No collection site info	Placidochromis_milomo-sc-2012-12-14T14:26:32Z-1512697	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Placidochromis electra	200	SAMEA1877409	ERX240996	250	6526410	2016-03-09	4611	3154	Placidochromis electra	2013-05-05	ERR266500	ERS198957	No collection site info	Placidochromis_electra-sc-2012-12-14T14:26:33Z-1512698	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Nimbochromis livingstoni	200	SAMEA1877421	ERX240997	250	6526422	2016-03-09	4036	2752	Nimbochromis livingstonii	2013-05-05	ERR266501	ERS198958	No collection site info	Nimbochromis_livingstoni-sc-2012-12-14T14:26:34Z-1512699	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Lethrinops lethrinus	200	SAMEA1877499	ERX240998	250	6526434	2016-03-09	4628	3159	Lethrinops lethrinus	2013-05-05	ERR266502	ERS198959	Mangochi	Lethrinops_lethrinus-sc-2012-12-14T14:26:35Z-1512700	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Placidochromis johnstoni	200	SAMEA1877451	ERX240999	250	6526446	2016-03-09	4772	3253	Placidochromis johnstoni	2013-05-05	ERR266503	ERS198960	No collection site info	Placidochromis_johnstoni-sc-2012-12-14T14:26:36Z-1512701	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Nimbochromis linni	200	SAMEA1877411	ERX241000	250	6526458	2016-03-09	4889	3323	Nimbochromis linni	2013-05-05	ERR266504	ERS198961	No collection site info	Nimbochromis_linni-sc-2012-12-14T14:26:37Z-1512702	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Nimbochromis polystigma	200	SAMEA1877476	ERX241001	250	6526470	2016-03-09	4582	3128	Nimbochromis polystigma	2013-05-05	ERR266505	ERS198962	Dwangwa	Nimbochromis_polystigma-sc-2012-12-14T14:26:38Z-1512703	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Aulonocara stuartgranti "maisoni"	200	SAMEA1877489	ERX241002	250	6526387	2016-03-09	7456	5099	Aulonocara stuartgranti	2013-05-05	ERR266506	ERS198963	No collection site info	Aulonocara_stuartgranti__maisoni_-sc-2012-12-14T14:26:39Z-1512704	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Aulonocara steveni	200	SAMEA1877440	ERX241003	250	6526399	2016-03-09	4907	3428	Aulonocara	2013-05-05	ERR266507	ERS198964	No collection site info	Aulonocara_steveni-sc-2012-12-14T14:26:41Z-1512705	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Astatotilapia "Massoko Yellow Calliptera"	200	SAMEA1877402	ERX241004	250	6526411	2016-03-09	3711	2568	Astatotilapia	2013-05-05	ERR266508	ERS198965	Lake Massoko	Massoko_Yellow_1-sc-2012-12-14T14:26:42Z-1512706	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Astatotilapia "Massoko Yellow Calliptera"	200	SAMEA1877507	ERX241005	250	6526423	2016-03-09	5780	3989	Astatotilapia	2013-05-05	ERR266509	ERS198966	Lake Massoko	Massoko_Yellow_2-sc-2012-12-14T14:26:43Z-1512707	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Lethrinops albus	200	SAMEA1877417	ERX241006	250	6526435	2016-03-09	3083	2123	Lethrinops albus	2013-05-05	ERR266510	ERS198967	No collection site info	Lethrinops_albus-sc-2012-12-14T14:26:43Z-1512708	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Otopharynx tetrastigma	200	SAMEA1877503	ERX241007	250	6526447	2016-03-09	4965	3428	Otopharynx	2013-05-05	ERR266511	ERS198968	Lake Ilamba	Otopharynx_tetrastigma-sc-2012-12-14T14:26:44Z-1512709	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Lethrinops auritus	200	SAMEA1877455	ERX241008	250	6526459	2016-03-09	5833	4012	Lethrinops auritus	2013-05-05	ERR266512	ERS198969	No collection site info	Lethrinops_auritus-sc-2012-12-14T14:26:45Z-1512710	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Lethrinops gossei	200	SAMEA1877484	ERX241009	250	6526471	2016-03-09	4815	3314	Lethrinops gossei	2013-05-05	ERR266513	ERS198970	Southeast Arm	Lethrinops_gossei-sc-2012-12-14T14:26:46Z-1512711	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Alticorpus macrocleithrum	200	SAMEA1877429	ERX245878	250	6526386	2013-05-09	5008	3491	Alticorpus	2013-05-15	ERR271651	ERS198955	Southeast Arm	Alticorpus_macrocleithrum-sc-2012-12-14T14:26:31Z-1512696	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Placidochromis milomo	200	SAMEA1877480	ERX245879	250	6526398	2013-05-09	6610	4628	Placidochromis milomo	2013-05-15	ERR271652	ERS198956	No collection site info	Placidochromis_milomo-sc-2012-12-14T14:26:32Z-1512697	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Placidochromis electra	200	SAMEA1877409	ERX245880	250	6526410	2013-05-09	4711	3294	Placidochromis electra	2013-05-15	ERR271653	ERS198957	No collection site info	Placidochromis_electra-sc-2012-12-14T14:26:33Z-1512698	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Nimbochromis livingstoni	200	SAMEA1877421	ERX245881	250	6526422	2013-05-09	4114	2869	Nimbochromis livingstonii	2013-05-15	ERR271654	ERS198958	No collection site info	Nimbochromis_livingstoni-sc-2012-12-14T14:26:34Z-1512699	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Lethrinops lethrinus	200	SAMEA1877499	ERX245882	250	6526434	2013-05-09	4716	3292	Lethrinops lethrinus	2013-05-15	ERR271655	ERS198959	Mangochi	Lethrinops_lethrinus-sc-2012-12-14T14:26:35Z-1512700	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Placidochromis johnstoni	200	SAMEA1877451	ERX245883	250	6526446	2013-05-09	4859	3388	Placidochromis johnstoni	2013-05-15	ERR271656	ERS198960	No collection site info	Placidochromis_johnstoni-sc-2012-12-14T14:26:36Z-1512701	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Nimbochromis linni	200	SAMEA1877411	ERX245884	250	6526458	2013-05-09	4976	3460	Nimbochromis linni	2013-05-15	ERR271657	ERS198961	No collection site info	Nimbochromis_linni-sc-2012-12-14T14:26:37Z-1512702	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Nimbochromis polystigma	200	SAMEA1877476	ERX245885	250	6526470	2013-05-09	4674	3262	Nimbochromis polystigma	2013-05-15	ERR271658	ERS198962	Dwangwa	Nimbochromis_polystigma-sc-2012-12-14T14:26:38Z-1512703	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Alticorpus macrocleithrum	200	SAMEA1877429	ERX245886	250	6526386	2013-05-09	4995	3412	Alticorpus	2013-05-15	ERR271659	ERS198955	Southeast Arm	Alticorpus_macrocleithrum-sc-2012-12-14T14:26:31Z-1512696	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Placidochromis milomo	200	SAMEA1877480	ERX245887	250	6526398	2013-05-09	6588	4521	Placidochromis milomo	2013-05-15	ERR271660	ERS198956	No collection site info	Placidochromis_milomo-sc-2012-12-14T14:26:32Z-1512697	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Placidochromis electra	200	SAMEA1877409	ERX245888	250	6526410	2013-05-09	4697	3218	Placidochromis electra	2013-05-15	ERR271661	ERS198957	No collection site info	Placidochromis_electra-sc-2012-12-14T14:26:33Z-1512698	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Nimbochromis livingstoni	200	SAMEA1877421	ERX245889	250	6526422	2013-05-09	4102	2802	Nimbochromis livingstonii	2013-05-15	ERR271662	ERS198958	No collection site info	Nimbochromis_livingstoni-sc-2012-12-14T14:26:34Z-1512699	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Lethrinops lethrinus	200	SAMEA1877499	ERX245890	250	6526434	2013-05-09	4705	3218	Lethrinops lethrinus	2013-05-15	ERR271663	ERS198959	Mangochi	Lethrinops_lethrinus-sc-2012-12-14T14:26:35Z-1512700	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Placidochromis johnstoni	200	SAMEA1877451	ERX245891	250	6526446	2013-05-09	4848	3312	Placidochromis johnstoni	2013-05-15	ERR271664	ERS198960	No collection site info	Placidochromis_johnstoni-sc-2012-12-14T14:26:36Z-1512701	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Nimbochromis linni	200	SAMEA1877411	ERX245892	250	6526458	2013-05-09	4965	3382	Nimbochromis linni	2013-05-15	ERR271665	ERS198961	No collection site info	Nimbochromis_linni-sc-2012-12-14T14:26:37Z-1512702	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Nimbochromis polystigma	200	SAMEA1877476	ERX245893	250	6526470	2013-05-10	4660	3187	Nimbochromis polystigma	2013-05-15	ERR271666	ERS198962	Dwangwa	Nimbochromis_polystigma-sc-2012-12-14T14:26:38Z-1512703	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Aulonocara stuartgranti "maisoni"	200	SAMEA1877489	ERX245894	250	6526387	2013-05-10	7458	5123	Aulonocara stuartgranti	2013-05-15	ERR271667	ERS198963	No collection site info	Aulonocara_stuartgranti__maisoni_-sc-2012-12-14T14:26:39Z-1512704	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Aulonocara steveni	200	SAMEA1877440	ERX245895	250	6526399	2013-05-10	4932	3445	Aulonocara	2013-05-15	ERR271668	ERS198964	No collection site info	Aulonocara_steveni-sc-2012-12-14T14:26:41Z-1512705	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Astatotilapia "Massoko Yellow Calliptera"	200	SAMEA1877402	ERX245896	250	6526411	2013-05-10	3729	2588	Astatotilapia	2013-05-15	ERR271669	ERS198965	Lake Massoko	Massoko_Yellow_1-sc-2012-12-14T14:26:42Z-1512706	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Astatotilapia "Massoko Yellow Calliptera"	200	SAMEA1877507	ERX245897	250	6526423	2013-05-10	5802	4019	Astatotilapia	2013-05-15	ERR271670	ERS198966	Lake Massoko	Massoko_Yellow_2-sc-2012-12-14T14:26:43Z-1512707	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Lethrinops albus	200	SAMEA1877417	ERX245898	250	6526435	2013-05-10	3085	2133	Lethrinops albus	2013-05-15	ERR271671	ERS198967	No collection site info	Lethrinops_albus-sc-2012-12-14T14:26:43Z-1512708	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Otopharynx tetrastigma	200	SAMEA1877503	ERX245899	250	6526447	2013-05-10	4975	3446	Otopharynx	2013-05-15	ERR271672	ERS198968	Lake Ilamba	Otopharynx_tetrastigma-sc-2012-12-14T14:26:44Z-1512709	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Lethrinops auritus	200	SAMEA1877455	ERX245900	250	6526459	2013-05-10	5844	4036	Lethrinops auritus	2013-05-15	ERR271673	ERS198969	No collection site info	Lethrinops_auritus-sc-2012-12-14T14:26:45Z-1512710	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Lethrinops gossei	200	SAMEA1877484	ERX245901	250	6526471	2013-05-10	4827	3335	Lethrinops gossei	2013-05-15	ERR271674	ERS198970	Southeast Arm	Lethrinops_gossei-sc-2012-12-14T14:26:46Z-1512711	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Aulonocara stuartgranti "maisoni"	200	SAMEA1877489	ERX245902	250	6526387	2013-05-10	7531	5143	Aulonocara stuartgranti	2013-05-15	ERR271675	ERS198963	No collection site info	Aulonocara_stuartgranti__maisoni_-sc-2012-12-14T14:26:39Z-1512704	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Aulonocara steveni	200	SAMEA1877440	ERX245903	250	6526399	2013-05-10	4969	3451	Aulonocara	2013-05-15	ERR271676	ERS198964	No collection site info	Aulonocara_steveni-sc-2012-12-14T14:26:41Z-1512705	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Astatotilapia "Massoko Yellow Calliptera"	200	SAMEA1877402	ERX245904	250	6526411	2013-05-10	3753	2590	Astatotilapia	2013-05-15	ERR271677	ERS198965	Lake Massoko	Massoko_Yellow_1-sc-2012-12-14T14:26:42Z-1512706	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Astatotilapia "Massoko Yellow Calliptera"	200	SAMEA1877507	ERX245905	250	6526423	2013-05-10	5847	4027	Astatotilapia	2013-05-15	ERR271678	ERS198966	Lake Massoko	Massoko_Yellow_2-sc-2012-12-14T14:26:43Z-1512707	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Lethrinops albus	200	SAMEA1877417	ERX245906	250	6526435	2013-05-10	3110	2138	Lethrinops albus	2013-05-15	ERR271679	ERS198967	No collection site info	Lethrinops_albus-sc-2012-12-14T14:26:43Z-1512708	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Otopharynx tetrastigma	200	SAMEA1877503	ERX245907	250	6526447	2013-05-10	5012	3453	Otopharynx	2013-05-15	ERR271680	ERS198968	Lake Ilamba	Otopharynx_tetrastigma-sc-2012-12-14T14:26:44Z-1512709	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Lethrinops auritus	200	SAMEA1877455	ERX245908	250	6526459	2013-05-10	5888	4043	Lethrinops auritus	2013-05-15	ERR271681	ERS198969	No collection site info	Lethrinops_auritus-sc-2012-12-14T14:26:45Z-1512710	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Lethrinops gossei	200	SAMEA1877484	ERX245909	250	6526471	2013-05-10	4867	3344	Lethrinops gossei	2013-05-15	ERR271682	ERS198970	Southeast Arm	Lethrinops_gossei-sc-2012-12-14T14:26:46Z-1512711	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Astatotilapia calliptera	200	SAMEA1904833	ERX267990	3000	6868862	2013-06-26	4739	3125	Astatotilapia calliptera	2013-06-10	ERR294657	ERS222170	DNA from whole fish	Astatotilapia_calliptera__offspring_mate_pair_-sc-2013-03-08T16:19:09Z-1581602	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Lethrinops lethrinus	200	SAMEA1904832	ERX267991	3000	6868863	2013-06-26	5669	3744	Lethrinops lethrinus	2013-06-10	ERR294658	ERS222171	DNA from whole fish	Lethrinops_lethrinus__offspring_mate_pair_-sc-2013-03-08T16:19:19Z-1581603	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Aulonocara stuartgranti	200	SAMEA1904837	ERX267992	3000	6868864	2013-06-26	5336	3526	Aulonocara stuartgranti	2013-06-10	ERR294659	ERS222172	DNA from whole fish	Aulonocara_stuartgranti__offspring_mate_pair_-sc-2013-03-08T16:19:27Z-1581604	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
female	Astatotilapia calliptera	200	SAMEA1904323	ERX268457	350	6811013	2013-06-27	4159	2927	Astatotilapia calliptera	2013-06-10	ERR295124	ERS208878	Rovuma river	Astatotilapia_calliptera__Rovuma_-sc-2013-01-28T12:01:16Z-1530723	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Astatotilapia calliptera	200	SAMEA1904327	ERX268458	350	6811025	2013-06-27	4290	3020	Astatotilapia calliptera	2013-06-10	ERR295125	ERS208879	Chizumulu island	Astatotilapia_calliptera__Chizumulu_-sc-2013-01-28T12:01:17Z-1530724	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Astatotilapia calliptera	200	SAMEA1904328	ERX268459	350	6811037	2013-06-27	3992	2816	Astatotilapia calliptera	2013-06-10	ERR295126	ERS208880	Lake Chilwa	Astatotilapia_calliptera__Chilwa_-sc-2013-01-28T12:01:18Z-1530725	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
female	Astatotilapia calliptera	200	SAMEA1904326	ERX268460	350	6811049	2013-06-27	4702	3294	Astatotilapia calliptera	2013-06-10	ERR295127	ERS208881	Mbaka river	Astatotilapia_calliptera__Mbaka_-sc-2013-01-28T12:01:19Z-1530726	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Lethrinops longimanus 'redhead'	200	SAMEA1904322	ERX268461	350	6811061	2013-06-27	4826	3388	Lethrinops longimanus	2013-06-10	ERR295128	ERS208885	Southeast Arm	Lethrinops_longimanus__redhead_-sc-2013-01-28T12:01:24Z-1530730	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Copadichromis quadrimaculatus	200	SAMEA1904324	ERX268462	350	6810978	2013-06-27	4551	3202	Copadichromis quadrimaculatus	2013-06-10	ERR295129	ERS208886	Southeast Arm	Copadichromis_quadrimaculatus-sc-2013-01-28T12:01:26Z-1530731	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Copadichromis virginalis	200	SAMEA1904329	ERX268463	350	6810990	2013-06-27	5153	3619	Copadichromis virginalis	2013-06-10	ERR295130	ERS208887	Southeast Arm	Copadichromis_virginalis-sc-2013-01-28T12:01:27Z-1530732	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Lethrinops sp. oliveri	200	SAMEA1904330	ERX268464	350	6811002	2013-06-27	4467	3144	Lethrinops sp. 'oliveri'	2013-06-10	ERR295131	ERS208888	Southeast Arm	Lethrinops_sp__oliveri-sc-2013-01-28T12:01:28Z-1530733	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Alticorpus geoffreyi	200	SAMEA1904331	ERX268465	350	6811014	2013-06-27	5347	3741	Alticorpus geoffreyi	2013-06-10	ERR295132	ERS208889	Southeast Arm	Alticorpus_geoffreyi-sc-2013-01-28T12:01:29Z-1530734	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
female	Astatotilapia calliptera	200	SAMEA1904323	ERX272523	350	6811013	2013-06-28	4292	3104	Astatotilapia calliptera	2013-06-19	ERR299198	ERS208878	Rovuma river	Astatotilapia_calliptera__Rovuma_-sc-2013-01-28T12:01:16Z-1530723	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Astatotilapia calliptera	200	SAMEA1904327	ERX272524	350	6811025	2013-06-28	4425	3201	Astatotilapia calliptera	2013-06-19	ERR299199	ERS208879	Chizumulu island	Astatotilapia_calliptera__Chizumulu_-sc-2013-01-28T12:01:17Z-1530724	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Astatotilapia calliptera	200	SAMEA1904328	ERX272525	350	6811037	2013-06-28	4124	2990	Astatotilapia calliptera	2013-06-19	ERR299200	ERS208880	Lake Chilwa	Astatotilapia_calliptera__Chilwa_-sc-2013-01-28T12:01:18Z-1530725	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
female	Astatotilapia calliptera	200	SAMEA1904326	ERX272526	350	6811049	2013-06-28	4823	3466	Astatotilapia calliptera	2013-06-19	ERR299201	ERS208881	Mbaka river	Astatotilapia_calliptera__Mbaka_-sc-2013-01-28T12:01:19Z-1530726	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Lethrinops longimanus 'redhead'	200	SAMEA1904322	ERX272527	350	6811061	2013-06-28	4943	3560	Lethrinops longimanus	2013-06-19	ERR299202	ERS208885	Southeast Arm	Lethrinops_longimanus__redhead_-sc-2013-01-28T12:01:24Z-1530730	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Copadichromis quadrimaculatus	200	SAMEA1904324	ERX272528	350	6810978	2013-06-28	4674	3376	Copadichromis quadrimaculatus	2013-06-19	ERR299203	ERS208886	Southeast Arm	Copadichromis_quadrimaculatus-sc-2013-01-28T12:01:26Z-1530731	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Copadichromis virginalis	200	SAMEA1904329	ERX272529	350	6810990	2013-06-28	5303	3826	Copadichromis virginalis	2013-06-19	ERR299204	ERS208887	Southeast Arm	Copadichromis_virginalis-sc-2013-01-28T12:01:27Z-1530732	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Lethrinops sp. oliveri	200	SAMEA1904330	ERX272530	350	6811002	2013-06-28	4594	3322	Lethrinops sp. 'oliveri'	2013-06-19	ERR299205	ERS208888	Southeast Arm	Lethrinops_sp__oliveri-sc-2013-01-28T12:01:28Z-1530733	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Alticorpus geoffreyi	200	SAMEA1904331	ERX272531	350	6811014	2013-06-28	5493	3936	Alticorpus geoffreyi	2013-06-19	ERR299206	ERS208889	Southeast Arm	Alticorpus_geoffreyi-sc-2013-01-28T12:01:29Z-1530734	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
female	Astatotilapia calliptera	200	SAMEA1904323	ERX272532	350	6811013	2013-06-28	4290	3102	Astatotilapia calliptera	2013-06-19	ERR299207	ERS208878	Rovuma river	Astatotilapia_calliptera__Rovuma_-sc-2013-01-28T12:01:16Z-1530723	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Astatotilapia calliptera	200	SAMEA1904327	ERX272533	350	6811025	2013-06-28	4424	3199	Astatotilapia calliptera	2013-06-19	ERR299208	ERS208879	Chizumulu island	Astatotilapia_calliptera__Chizumulu_-sc-2013-01-28T12:01:17Z-1530724	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Astatotilapia calliptera	200	SAMEA1904328	ERX272534	350	6811037	2013-06-28	4120	2986	Astatotilapia calliptera	2013-06-19	ERR299209	ERS208880	Lake Chilwa	Astatotilapia_calliptera__Chilwa_-sc-2013-01-28T12:01:18Z-1530725	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
female	Astatotilapia calliptera	200	SAMEA1904326	ERX272535	350	6811049	2013-06-28	4818	3462	Astatotilapia calliptera	2013-06-19	ERR299210	ERS208881	Mbaka river	Astatotilapia_calliptera__Mbaka_-sc-2013-01-28T12:01:19Z-1530726	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Lethrinops longimanus 'redhead'	200	SAMEA1904322	ERX272536	350	6811061	2013-06-28	4942	3558	Lethrinops longimanus	2013-06-19	ERR299211	ERS208885	Southeast Arm	Lethrinops_longimanus__redhead_-sc-2013-01-28T12:01:24Z-1530730	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
